DateTime,Depth,surface_height
4/14/2018,11.1,11.1
4/15/2018,11.1,11.1
4/16/2018,11.1,11.1
4/17/2018,11.1,11.1
4/18/2018,11.1,11.1
4/19/2018,11.1,11.1
4/20/2018,11.1,11.1
4/21/2018,11.1,11.1
4/22/2018,11.2,11.2
4/23/2018,11.2,11.2
4/24/2018,11.2,11.2
4/25/2018,11.3,11.3
4/26/2018,11.3,11.3
4/27/2018,11.3,11.3
4/28/2018,11.3,11.3
4/29/2018,11.3,11.3
4/30/2018,11.2,11.2
5/1/2018,11.2,11.2
5/2/2018,11.2,11.2
5/3/2018,11.2,11.2
5/4/2018,11.2,11.2
5/5/2018,11.2,11.2
5/6/2018,11.2,11.2
5/7/2018,11.2,11.2
5/8/2018,11.2,11.2
5/9/2018,11.2,11.2
5/10/2018,11.2,11.2
5/11/2018,11.2,11.2
5/12/2018,11.2,11.2
5/13/2018,11.2,11.2
5/14/2018,11.2,11.2
5/15/2018,11.2,11.2
5/16/2018,11.2,11.2
5/17/2018,11.2,11.2
5/18/2018,11.5,11.5
5/19/2018,11.6,11.6
5/20/2018,11.6,11.6
5/21/2018,11.7,11.7
5/22/2018,11.7,11.7
5/23/2018,11.8,11.8
5/24/2018,11.8,11.8
5/25/2018,11.8,11.8
5/26/2018,11.8,11.8
5/27/2018,11.8,11.8
5/28/2018,11.8,11.8
5/29/2018,11.8,11.8
5/30/2018,11.8,11.8
5/31/2018,11.8,11.8
6/1/2018,11.8,11.8
6/2/2018,11.8,11.8
6/3/2018,11.7,11.7
6/4/2018,11.7,11.7
6/5/2018,11.7,11.7
6/6/2018,11.6,11.6
6/7/2018,11.6,11.6
6/8/2018,11.6,11.6
6/9/2018,11.6,11.6
6/10/2018,11.6,11.6
6/11/2018,11.5,11.5
6/12/2018,11.5,11.5
6/13/2018,11.5,11.5
6/14/2018,11.5,11.5
6/15/2018,11.5,11.5
6/16/2018,11.5,11.5
6/17/2018,11.4,11.4
6/18/2018,11.4,11.4
6/19/2018,11.4,11.4
6/20/2018,11.3,11.3
6/21/2018,11.3,11.3
6/22/2018,11.3,11.3
6/23/2018,11.3,11.3
6/24/2018,11.3,11.3
6/25/2018,11.2,11.2
6/26/2018,11.2,11.2
6/27/2018,11.2,11.2
6/28/2018,11.2,11.2
6/29/2018,11.2,11.2
6/30/2018,11.1,11.1
7/1/2018,11.1,11.1
7/2/2018,11.1,11.1
7/3/2018,11.1,11.1
7/4/2018,11.1,11.1
7/5/2018,11.1,11.1
7/6/2018,11.1,11.1
7/7/2018,11.1,11.1
